FISCAL_YEAR,DISTRICT_ID,DISTRICT NAME, PROPTAX , FEDERAL , STATE , LOCAL , TOTAL ,MEMBER
2019-20,182,Ashwaubenon," $16,257,237.00 "," $1,888,432.24 "," $10,471,030.59 "," $1,169,758.61 "," $29,786,458.44 ",2299
2019-20,196,Athens," $2,243,861.00 "," $498,791.38 "," $3,669,264.14 "," $267,315.08 "," $6,679,231.60 ",446
2019-20,203,Auburndale," $2,543,120.00 "," $631,961.96 "," $6,988,035.30 "," $507,271.29 "," $10,670,388.55 ",766
2019-20,217,Augusta," $3,630,936.00 "," $914,014.76 "," $5,247,203.29 "," $174,577.93 "," $9,966,731.98 ",605
2019-20,231,Baldwin-Woodville Area," $6,820,554.00 "," $836,691.37 "," $14,264,462.36 "," $1,333,338.96 "," $23,255,046.69 ",1692
2019-20,245,Bangor," $3,150,226.00 "," $512,709.08 "," $4,952,922.66 "," $207,330.83 "," $8,823,188.57 ",626
2019-20,280,Baraboo," $16,609,342.00 "," $2,334,207.52 "," $21,544,940.55 "," $4,620,236.25 "," $45,108,726.32 ",3012
2019-20,287,Barneveld," $2,845,979.00 "," $171,572.68 "," $3,178,476.94 "," $636,538.02 "," $6,832,566.64 ",423
2019-20,308,Barron Area," $5,575,559.00 "," $1,450,204.70 "," $13,952,559.13 "," $784,205.47 "," $21,762,528.30 ",1376
2019-20,315,Bayfield," $6,584,459.00 "," $2,955,786.45 "," $1,774,237.17 "," $163,398.01 "," $11,477,880.63 ",442
2019-20,336,Beaver Dam," $15,790,188.00 "," $3,025,801.22 "," $28,494,543.97 "," $4,003,370.37 "," $51,313,903.56 ",3522
2019-20,4263,Beecher-Dunbar-Pembine," $3,495,674.00 "," $316,153.22 "," $975,095.16 "," $236,224.96 "," $5,023,147.34 ",242
2019-20,350,Belleville," $6,226,476.00 "," $472,592.17 "," $6,637,387.06 "," $468,139.81 "," $13,804,595.04 ",953
2019-20,364,Belmont Community," $1,755,864.00 "," $368,206.05 "," $3,074,442.55 "," $258,287.19 "," $5,456,799.79 ",376
2019-20,413,Beloit," $16,533,493.00 "," $10,811,469.52 "," $80,976,142.80 "," $2,896,429.21 "," $111,217,534.50 ",7101
2019-20,422,Beloit Turner," $5,669,101.00 "," $930,755.30 "," $10,443,051.10 "," $563,437.69 "," $17,606,345.09 ",1224
2019-20,427,Benton," $1,176,147.00 "," $241,332.47 "," $2,345,911.50 "," $217,646.27 "," $3,981,037.24 ",247
2019-20,434,Berlin Area," $6,568,612.00 "," $1,792,128.31 "," $13,211,655.45 "," $352,178.50 "," $21,924,574.26 ",1579
2019-20,6013,Big Foot UHS," $8,133,081.00 "," $261,375.00 "," $938,515.86 "," $720,108.63 "," $10,053,080.49 ",510
2019-20,441,Birchwood," $3,818,225.00 "," $337,404.18 "," $711,788.44 "," $92,384.17 "," $4,959,801.79 ",220
2019-20,2240,Black Hawk," $1,361,921.00 "," $438,701.15 "," $3,606,232.65 "," $115,030.48 "," $5,521,885.28 ",404
2019-20,476,Black River Falls," $8,372,580.00 "," $2,718,202.28 "," $14,595,705.42 "," $1,550,766.07 "," $27,237,253.77 ",1737
2019-20,485,Blair-Taylor," $4,261,886.00 "," $798,762.06 "," $4,533,714.11 "," $273,296.69 "," $9,867,658.86 ",661
2019-20,497,Bloomer," $6,282,739.00 "," $737,459.84 "," $10,778,224.42 "," $458,945.36 "," $18,257,368.62 ",1301
2019-20,602,Bonduel," $4,370,892.00 "," $764,621.82 "," $5,971,719.65 "," $379,706.05 "," $11,486,939.52 ",828
2019-20,609,Boscobel," $3,302,827.00 "," $799,215.30 "," $8,159,596.50 "," $256,794.38 "," $12,518,433.18 ",795
2019-20,623,Bowler," $1,886,207.00 "," $1,380,054.72 "," $3,906,511.20 "," $173,391.46 "," $7,346,164.38 ",407
2019-20,637,Boyceville Community," $3,119,685.00 "," $771,393.55 "," $6,523,094.30 "," $226,829.05 "," $10,641,001.90 ",731
2019-20,657,Brighton #1," $1,096,794.00 "," $95,793.97 "," $351,060.09 "," $72,822.91 "," $1,616,470.97 ",117
2019-20,658,Brillion," $3,884,172.00 "," $607,307.45 "," $7,351,689.37 "," $861,491.59 "," $12,704,660.41 ",908
2019-20,665,Bristol #1," $4,679,821.00 "," $319,153.92 "," $4,480,084.68 "," $191,801.65 "," $9,670,861.25 ",762
2019-20,700,Brodhead," $3,881,176.00 "," $926,941.54 "," $8,309,397.80 "," $1,623,106.20 "," $14,740,621.54 ",1036
2019-20,721,Brown Deer," $13,129,481.00 "," $1,349,014.98 "," $12,839,777.18 "," $921,901.20 "," $28,240,174.36 ",1726
2019-20,735,Bruce," $2,881,922.00 "," $636,692.78 "," $3,437,262.27 "," $108,296.61 "," $7,064,173.66 ",503
2019-20,777,Burlington Area," $22,277,787.00 "," $2,265,472.10 "," $21,087,744.81 "," $2,420,982.96 "," $48,051,986.87 ",3415
2019-20,840,Butternut," $1,242,217.00 "," $280,033.09 "," $1,395,948.11 "," $289,527.64 "," $3,207,725.84 ",152
2019-20,870,Cadott Community," $4,733,101.00 "," $730,630.38 "," $7,995,432.18 "," $798,816.01 "," $14,257,979.57 ",850
2019-20,882,Cambria-Friesland," $2,558,346.00 "," $469,139.90 "," $3,383,944.16 "," $627,348.71 "," $7,038,778.77 ",395
2019-20,896,Cambridge," $7,180,729.00 "," $583,832.61 "," $5,063,715.92 "," $498,755.33 "," $13,327,032.86 ",904
2019-20,903,Cameron," $4,029,666.00 "," $802,087.75 "," $8,727,782.08 "," $251,847.48 "," $13,811,383.31 ",940
2019-20,910,Campbellsport," $10,220,018.00 "," $879,665.42 "," $8,341,869.42 "," $564,885.61 "," $20,006,438.45 ",1364
2019-20,980,Cashton," $2,207,443.00 "," $827,603.12 "," $5,552,685.63 "," $548,342.59 "," $9,136,074.34 ",600
2019-20,994,Cassville," $1,775,000.00 "," $294,825.39 "," $1,838,812.39 "," $269,593.50 "," $4,178,231.28 ",241
2019-20,1029,Cedar Grove-Belgium Area," $5,600,825.00 "," $556,165.65 "," $7,040,164.95 "," $589,668.04 "," $13,786,823.64 ",1025
2019-20,1015,Cedarburg," $23,631,883.00 "," $1,099,266.63 "," $14,436,581.37 "," $4,149,378.51 "," $43,317,109.51 ",3047
2019-20,5054,Central/Westosha UHS," $8,658,486.00 "," $409,206.99 "," $6,959,482.87 "," $1,029,857.02 "," $17,057,032.88 ",1129
2019-20,1071,Chequamegon," $6,788,645.00 "," $1,154,397.58 "," $3,588,187.72 "," $369,220.59 "," $11,900,450.89 ",783
2019-20,1080,Chetek-Weyerhaeuser," $10,564,399.00 "," $914,992.22 "," $3,855,780.82 "," $830,001.33 "," $16,165,173.37 ",1068
2019-20,1085,Chilton," $6,488,365.00 "," $851,679.18 "," $7,868,414.97 "," $757,477.65 "," $15,965,936.80 ",1073
2019-20,1092,Chippewa Falls Area," $26,698,805.00 "," $4,384,664.41 "," $37,700,252.06 "," $1,896,113.31 "," $70,679,834.78 ",5196
2019-20,1120,Clayton," $1,349,226.00 "," $448,173.40 "," $3,083,457.75 "," $255,792.32 "," $5,136,649.47 ",318
2019-20,1127,Clear Lake," $2,312,835.00 "," $606,686.58 "," $5,940,746.89 "," $722,575.79 "," $9,582,844.26 ",615
2019-20,1134,Clinton Community," $4,250,355.00 "," $865,094.76 "," $8,670,740.99 "," $1,025,019.36 "," $14,811,210.11 ",1015
2019-20,1141,Clintonville," $7,062,570.00 "," $1,417,622.81 "," $10,947,615.04 "," $994,669.76 "," $20,422,477.61 ",1313
2019-20,1155,Cochrane-Fountain City," $4,093,855.00 "," $463,881.06 "," $4,082,052.78 "," $293,103.39 "," $8,932,892.23 ",579
2019-20,1162,Colby," $3,353,400.00 "," $764,880.68 "," $9,115,971.77 "," $232,960.87 "," $13,467,213.32 ",1034
2019-20,1169,Coleman," $4,846,889.00 "," $657,214.23 "," $4,923,176.33 "," $330,735.98 "," $10,758,015.54 ",725
2019-20,1176,Colfax," $2,977,075.00 "," $777,372.47 "," $6,624,702.62 "," $313,009.26 "," $10,692,159.35 ",814
2019-20,1183,Columbus," $6,990,539.00 "," $1,051,139.99 "," $8,706,091.42 "," $2,354,315.02 "," $19,102,085.43 ",1289
2019-20,1204,Cornell," $1,213,715.00 "," $703,824.95 "," $4,141,871.98 "," $279,943.57 "," $6,339,355.50 ",437
2019-20,1218,Crandon," $7,295,571.74 "," $1,953,226.91 "," $4,259,723.31 "," $385,201.71 "," $13,893,723.67 ",901
2019-20,1232,Crivitz," $6,731,332.00 "," $710,551.06 "," $2,060,053.22 "," $378,193.15 "," $9,880,129.43 ",774
2019-20,1246,Cuba City," $3,847,943.00 "," $660,487.52 "," $5,408,604.56 "," $545,938.08 "," $10,462,973.16 ",635
2019-20,1253,Cudahy," $10,633,082.00 "," $2,438,237.29 "," $23,016,711.92 "," $1,691,964.84 "," $37,779,996.05 ",2475
2019-20,1260,Cumberland," $7,288,468.00 "," $1,048,370.35 "," $5,588,860.77 "," $2,175,864.81 "," $16,101,563.93 ",939
2019-20,4970,D C Everest Area," $27,043,821.00 "," $4,026,164.30 "," $49,522,175.05 "," $3,609,392.43 "," $84,201,552.78 ",6007
2019-20,1295,Darlington Community," $3,997,433.00 "," $830,107.07 "," $7,484,366.61 "," $455,030.54 "," $12,766,937.22 ",864
2019-20,1421,De Soto Area," $3,675,486.00 "," $790,343.74 "," $3,609,643.22 "," $174,563.21 "," $8,250,036.17 ",564
2019-20,1309,Deerfield Community," $5,077,041.00 "," $407,708.33 "," $6,044,535.54 "," $651,056.37 "," $12,180,341.24 ",788
2019-20,1316,Deforest Area," $32,908,862.00 "," $1,783,602.02 "," $22,841,949.09 "," $1,784,353.09 "," $59,318,766.20 ",3881
2019-20,1380,Delavan-Darien," $17,714,074.00 "," $2,536,887.15 "," $15,111,338.11 "," $804,523.58 "," $36,166,822.84 ",2518
2019-20,1407,Denmark," $7,307,317.00 "," $931,529.47 "," $10,633,241.56 "," $1,179,675.02 "," $20,051,763.05 ",1493
2019-20,1414,Depere," $19,904,975.00 "," $2,039,820.36 "," $28,767,632.81 "," $1,595,211.73 "," $52,307,639.90 ",4170
2019-20,2744,Dodgeland," $3,598,131.00 "," $674,697.88 "," $7,397,288.49 "," $267,247.69 "," $11,937,365.06 ",755
2019-20,1428,Dodgeville," $7,901,971.00 "," $976,931.43 "," $9,898,441.14 "," $964,915.79 "," $19,742,259.36 ",1321
2019-20,1449,Dover #1," $641,396.00 "," $40,227.18 "," $666,945.81 "," $105,321.51 "," $1,453,890.50 ",95
2019-20,1491,Drummond," $3,932,517.00 "," $607,279.00 "," $1,246,468.88 "," $91,615.60 "," $5,877,880.48 ",388
2019-20,1499,Durand-Arkansaw," $4,927,258.00 "," $1,010,093.51 "," $7,570,764.76 "," $673,517.83 "," $14,181,634.10 ",994
2019-20,1540,East Troy Community," $15,244,680.00 "," $1,109,905.26 "," $7,069,484.39 "," $1,245,992.07 "," $24,670,061.72 ",1762
2019-20,1554,Eau Claire Area," $62,433,094.00 "," $8,738,591.25 "," $81,374,979.19 "," $5,468,568.17 "," $158,015,232.60 ",11968
2019-20,1561,Edgar," $2,553,296.00 "," $598,939.91 "," $5,783,959.35 "," $644,358.71 "," $9,580,553.97 ",620
2019-20,1568,Edgerton," $12,154,268.00 "," $1,342,684.52 "," $14,362,863.54 "," $4,876,292.88 "," $32,736,108.94 ",1956
2019-20,1582,Elcho," $5,319,359.00 "," $308,407.61 "," $797,079.39 "," $280,075.42 "," $6,704,921.42 ",272
2019-20,1600,Eleva-Strum," $3,198,557.00 "," $508,704.04 "," $5,735,916.11 "," $639,700.91 "," $10,082,878.06 ",664
2019-20,1645,Elk Mound Area," $3,213,456.00 "," $778,698.11 "," $9,672,418.25 "," $938,823.41 "," $14,603,395.77 ",1112
2019-20,1631,Elkhart Lake-Glenbeulah," $5,785,009.00 "," $242,182.00 "," $1,024,021.55 "," $398,381.40 "," $7,449,593.95 ",450
2019-20,1638,Elkhorn Area," $20,461,818.00 "," $2,043,866.46 "," $19,016,788.83 "," $1,883,497.86 "," $43,405,971.15 ",3122
2019-20,1659,Ellsworth Community," $9,629,882.00 "," $1,143,380.10 "," $12,957,743.75 "," $826,535.90 "," $24,557,541.75 ",1743
2019-20,714,Elmbrook," $85,778,481.00 "," $2,852,221.56 "," $14,298,588.03 "," $6,421,765.30 "," $109,351,055.90 ",7430
2019-20,1666,Elmwood," $1,984,299.00 "," $309,683.36 "," $3,167,242.15 "," $257,877.05 "," $5,719,101.56 ",334
2019-20,1687,Erin," $2,317,112.00 "," $144,516.03 "," $775,163.04 "," $264,960.76 "," $3,501,751.83 ",230
2019-20,1694,Evansville Community," $9,336,607.00 "," $951,385.57 "," $15,932,614.17 "," $2,606,716.12 "," $28,827,322.86 ",1793
2019-20,1729,Fall Creek," $3,593,914.00 "," $497,850.16 "," $6,652,316.78 "," $510,553.28 "," $11,254,634.22 ",769
2019-20,1736,Fall River," $2,490,717.00 "," $357,920.16 "," $3,985,687.33 "," $288,630.78 "," $7,122,955.27 ",523
2019-20,1813,Fennimore Community," $2,655,351.00 "," $1,065,086.23 "," $7,297,451.20 "," $376,932.04 "," $11,394,820.47 ",765
2019-20,5757,Flambeau," $2,203,388.00 "," $883,441.31 "," $5,729,528.70 "," $368,693.15 "," $9,185,051.16 ",617
2019-20,1855,Florence," $6,281,770.00 "," $597,308.81 "," $1,644,069.59 "," $231,237.63 "," $8,754,386.03 ",469
2019-20,1862,Fond Du Lac," $34,017,688.00 "," $6,724,153.05 "," $58,208,203.38 "," $6,347,172.17 "," $105,297,216.60 ",7550
2019-20,1870,Fontana J8," $3,420,005.00 "," $152,616.15 "," $254,733.72 "," $198,083.40 "," $4,025,438.27 ",153
2019-20,1883,Fort Atkinson," $17,193,843.00 "," $2,340,248.63 "," $21,390,408.23 "," $1,498,675.74 "," $42,423,175.60 ",2826
2019-20,1890,Fox Point J2," $10,882,501.00 "," $399,583.35 "," $1,340,020.67 "," $529,801.34 "," $13,151,906.36 ",704
2019-20,1900,Franklin Public," $34,714,826.00 "," $2,307,191.50 "," $25,047,935.24 "," $3,641,333.74 "," $65,711,286.48 ",4439
2019-20,1939,Frederic," $3,319,848.00 "," $662,950.61 "," $4,024,455.95 "," $512,537.72 "," $8,519,792.28 ",524
2019-20,1953,Freedom Area," $6,861,676.00 "," $799,974.89 "," $11,250,370.01 "," $516,104.72 "," $19,428,125.62 ",1676
2019-20,2009,Gale-Ettrick-Trempealeau," $7,748,617.00 "," $815,508.42 "," $11,463,982.33 "," $860,393.99 "," $20,888,501.74 ",1465
2019-20,2044,Geneva J4," $2,254,503.00 "," $71,619.66 "," $178,747.04 "," $161,158.21 "," $2,666,027.91 ",128
2019-20,2051,Genoa City J2," $3,178,094.00 "," $231,894.80 "," $5,387,017.15 "," $252,842.60 "," $9,049,848.55 ",629
2019-20,2058,Germantown," $36,073,257.00 "," $1,493,907.26 "," $14,890,264.16 "," $2,833,841.51 "," $55,291,269.93 ",3961
2019-20,2114,Gibraltar Area," $10,942,576.00 "," $363,548.83 "," $1,254,766.30 "," $326,427.09 "," $12,887,318.22 ",538
2019-20,2128,Gillett," $3,034,088.00 "," $638,742.75 "," $5,137,053.12 "," $141,027.16 "," $8,950,911.03 ",589
2019-20,2135,Gilman," $2,732,587.00 "," $837,298.58 "," $3,001,190.23 "," $522,810.87 "," $7,093,886.68 ",374
2019-20,2142,Gilmanton," $1,061,524.00 "," $189,744.95 "," $1,336,654.86 "," $56,132.46 "," $2,644,056.27 ",170
2019-20,2184,Glendale-River Hills," $12,784,925.00 "," $713,163.27 "," $2,293,465.23 "," $1,281,963.92 "," $17,073,517.42 ",974
2019-20,2198,Glenwood City," $2,652,974.00 "," $458,124.72 "," $6,598,381.75 "," $366,160.05 "," $10,075,640.52 ",712
2019-20,2212,Goodman-Armstrong," $1,957,353.00 "," $210,096.76 "," $363,408.43 "," $47,553.42 "," $2,578,411.61 ",110
2019-20,2217,Grafton," $18,774,138.00 "," $1,041,669.75 "," $8,295,165.86 "," $1,951,479.02 "," $30,062,452.63 ",2026
2019-20,2226,Granton Area," $1,167,182.00 "," $651,425.95 "," $2,210,262.55 "," $204,966.85 "," $4,233,837.35 ",239
2019-20,2233,Grantsburg," $3,519,133.00 "," $1,049,202.87 "," $6,553,904.96 "," $276,313.79 "," $11,398,554.62 ",870
2019-20,2289,Green Bay Area," $92,825,840.00 "," $28,102,409.90 "," $197,450,972.80 "," $7,006,051.97 "," $325,385,274.70 ",22320
2019-20,2310,Green Lake," $4,173,860.00 "," $159,883.67 "," $426,843.75 "," $154,616.32 "," $4,915,203.74 ",267
2019-20,2296,Greendale," $16,005,623.00 "," $1,744,607.84 "," $18,086,822.02 "," $2,431,517.52 "," $38,268,570.38 ",2629
2019-20,2303,Greenfield," $20,809,901.00 "," $2,803,999.10 "," $24,543,206.54 "," $1,866,844.44 "," $50,023,951.08 ",3575
2019-20,2394,Greenwood," $2,542,333.00 "," $625,612.67 "," $3,298,606.12 "," $133,776.80 "," $6,600,328.59 ",400
2019-20,2415,Gresham," $1,731,000.00 "," $421,443.04 "," $2,271,958.69 "," $179,882.23 "," $4,604,283.96 ",242
2019-20,2420,Hamilton," $33,619,697.00 "," $1,478,780.82 "," $27,875,108.27 "," $2,445,717.49 "," $65,419,303.58 ",4958
2019-20,2443,Hartford J1," $10,411,302.00 "," $1,091,835.57 "," $14,531,254.10 "," $723,750.34 "," $26,758,142.01 ",2017
2019-20,2436,Hartford UHS," $11,304,762.00 "," $762,059.77 "," $7,798,505.58 "," $1,614,541.45 "," $21,479,868.80 ",1511
2019-20,2460,Hartland-Lakeside J3," $7,962,145.00 "," $622,924.86 "," $6,327,268.80 "," $958,339.23 "," $15,870,677.89 ",1276
2019-20,2478,Hayward Community," $18,809,009.00 "," $3,258,010.43 "," $3,879,196.52 "," $689,298.23 "," $26,635,514.18 ",1815
2019-20,2525,Herman-Neosho-Rubicon," $2,827,083.00 "," $245,572.63 "," $2,217,366.10 "," $147,454.25 "," $5,437,475.98 ",341
2019-20,2527,Highland," $1,356,459.00 "," $293,066.96 "," $3,211,037.16 "," $131,775.76 "," $4,992,338.88 ",314
2019-20,2534,Hilbert," $2,606,476.00 "," $314,506.59 "," $3,822,290.06 "," $345,281.80 "," $7,088,554.45 ",490
2019-20,2541,Hillsboro," $2,298,122.00 "," $1,239,288.59 "," $5,109,462.74 "," $282,716.44 "," $8,929,589.77 ",528
2019-20,2562,Holmen," $19,620,532.00 "," $2,319,987.34 "," $35,235,880.54 "," $4,411,576.25 "," $61,587,976.13 ",4176
2019-20,2570,Holy Hill Area," $4,808,084.00 "," $194,808.87 "," $1,829,390.17 "," $398,987.82 "," $7,231,270.86 ",517
2019-20,2576,Horicon," $4,490,622.00 "," $624,322.95 "," $6,210,125.77 "," $369,556.36 "," $11,694,627.08 ",820
2019-20,2583,Hortonville," $19,026,142.00 "," $1,529,287.58 "," $27,685,902.04 "," $1,478,442.16 "," $49,719,773.78 ",4039
2019-20,2605,Howards Grove," $4,556,534.00 "," $348,053.81 "," $6,025,064.91 "," $623,130.40 "," $11,552,783.12 ",852
2019-20,2604,Howard-Suamico," $28,248,522.00 "," $2,446,742.78 "," $41,900,922.34 "," $4,949,627.39 "," $77,545,814.51 ",5744
2019-20,2611,Hudson," $48,185,416.00 "," $2,061,596.86 "," $29,965,409.37 "," $3,736,960.20 "," $83,949,382.43 ",5613
2019-20,2618,Hurley," $2,920,380.00 "," $626,668.25 "," $3,974,741.14 "," $395,785.52 "," $7,917,574.91 ",546
2019-20,2625,Hustisford," $3,050,883.00 "," $326,966.14 "," $2,482,433.91 "," $150,099.76 "," $6,010,382.81 ",412
2019-20,2632,Independence," $2,249,886.00 "," $577,089.68 "," $3,739,450.40 "," $115,428.56 "," $6,681,854.64 ",473
2019-20,2639,Iola-Scandinavia," $4,631,165.00 "," $398,419.11 "," $4,717,180.95 "," $720,320.49 "," $10,467,085.55 ",676
2019-20,2646,Iowa-Grant," $3,099,349.00 "," $661,559.22 "," $7,154,885.01 "," $340,562.21 "," $11,256,355.44 ",710
2019-20,2660,Ithaca," $1,558,513.00 "," $372,850.57 "," $2,946,232.69 "," $244,960.65 "," $5,122,556.91 ",308
2019-20,2695,Janesville," $40,758,519.00 "," $11,515,926.03 "," $78,872,875.19 "," $3,266,373.88 "," $134,413,694.10 ",9581
2019-20,2702,Jefferson," $11,281,360.00 "," $1,578,128.37 "," $14,793,286.37 "," $1,769,277.09 "," $29,422,051.83 ",1899
2019-20,2730,Johnson Creek," $4,877,940.00 "," $476,295.60 "," $5,611,851.13 "," $622,641.88 "," $11,588,728.61 ",758
2019-20,2737,Juda," $1,613,166.00 "," $257,355.44 "," $2,143,532.43 "," $76,779.91 "," $4,090,833.78 ",238
2019-20,2758,Kaukauna Area," $21,204,389.00 "," $2,147,960.77 "," $35,824,097.02 "," $1,739,061.34 "," $60,915,508.13 ",4773
2019-20,2793,Kenosha," $87,178,619.00 "," $23,317,561.59 "," $181,080,400.40 "," $5,201,234.80 "," $296,777,815.80 ",21092
2019-20,1376,Kettle Moraine," $37,633,114.00 "," $1,532,941.27 "," $11,944,580.01 "," $5,836,804.39 "," $56,947,439.67 ",3579
2019-20,2800,Kewaskum," $12,035,373.00 "," $1,054,746.64 "," $10,293,736.04 "," $1,463,510.91 "," $24,847,366.59 ",1902
2019-20,2814,Kewaunee," $5,854,587.00 "," $750,891.86 "," $7,174,213.61 "," $411,697.86 "," $14,191,390.33 ",1009
2019-20,5960,Kickapoo Area," $1,697,844.00 "," $694,107.02 "," $4,243,472.21 "," $291,624.61 "," $6,927,047.84 ",465
2019-20,2828,Kiel Area," $7,379,808.09 "," $644,650.06 "," $9,027,997.79 "," $989,908.59 "," $18,042,364.53 ",1282
2019-20,2835,Kimberly Area," $15,761,576.00 "," $1,924,927.11 "," $38,981,019.99 "," $3,168,871.52 "," $59,836,394.62 ",4906
2019-20,2842,Kohler," $6,058,526.00 "," $121,130.48 "," $1,119,207.52 "," $642,845.00 "," $7,941,709.00 ",500
2019-20,1848,Lac Du Flambeau #1," $6,675,000.00 "," $6,212,295.21 "," $2,873,618.93 "," $287,054.51 "," $16,047,968.65 ",588
2019-20,2849,Lacrosse," $50,761,354.00 "," $7,255,109.85 "," $44,752,801.23 "," $3,787,961.69 "," $106,557,226.80 ",6570
2019-20,2856,Ladysmith," $3,278,545.00 "," $1,163,813.58 "," $8,223,969.22 "," $1,232,882.39 "," $13,899,210.19 ",797
2019-20,2863,Lafarge," $1,090,987.00 "," $474,037.32 "," $2,421,724.87 "," $175,537.61 "," $4,162,286.80 ",263
2019-20,3862,Lake Country," $3,951,160.00 "," $273,389.53 "," $570,218.54 "," $419,792.47 "," $5,214,560.54 ",389
2019-20,2885,Lake Geneva J1," $17,549,512.00 "," $1,462,300.22 "," $7,939,060.03 "," $792,493.33 "," $27,743,365.58 ",1908
2019-20,2884,Lake Geneva-Genoa UHS," $17,787,258.00 "," $736,371.92 "," $3,442,948.07 "," $1,153,254.13 "," $23,119,832.12 ",1265
2019-20,2891,Lake Holcombe," $3,793,628.00 "," $472,721.80 "," $1,096,892.14 "," $306,421.18 "," $5,669,663.12 ",309
2019-20,2898,Lake Mills Area," $10,037,540.00 "," $1,095,587.02 "," $10,455,600.37 "," $1,214,989.09 "," $22,803,716.48 ",1625
2019-20,3647,Lakeland UHS," $11,306,190.00 "," $1,221,458.52 "," $2,240,219.77 "," $1,559,819.97 "," $16,327,688.26 ",744
2019-20,2912,Lancaster Community," $4,094,339.00 "," $1,180,064.43 "," $8,411,609.26 "," $324,724.04 "," $14,010,736.73 ",1027
2019-20,2940,Laona," $1,996,193.00 "," $432,527.82 "," $1,597,201.37 "," $293,002.10 "," $4,318,924.29 ",231
2019-20,2961,Lena," $2,203,995.00 "," $264,400.03 "," $3,458,354.24 "," $223,961.69 "," $6,150,710.96 ",426
2019-20,3087,Linn J4," $1,905,667.00 "," $87,617.60 "," $190,151.94 "," $24,753.15 "," $2,208,189.69 ",95
2019-20,3094,Linn J6," $1,570,139.00 "," $81,731.14 "," $171,406.25 "," $107,954.75 "," $1,931,231.14 ",82
2019-20,3129,Little Chute Area," $5,592,906.00 "," $907,131.22 "," $10,910,338.35 "," $643,728.06 "," $18,054,103.63 ",1281
2019-20,3150,Lodi," $14,438,132.00 "," $988,417.48 "," $6,993,538.98 "," $1,537,207.94 "," $23,957,296.40 ",1524
2019-20,3171,Lomira," $5,448,836.00 "," $643,885.04 "," $8,645,695.52 "," $571,013.68 "," $15,309,430.24 ",1125
2019-20,3206,Loyal," $1,906,474.00 "," $619,506.98 "," $5,110,631.97 "," $282,553.32 "," $7,919,166.27 ",543
2019-20,3213,Luck," $3,030,007.00 "," $550,735.71 "," $3,544,474.10 "," $526,064.38 "," $7,651,281.19 ",519
2019-20,3220,Luxemburg-Casco," $9,317,952.00 "," $1,133,948.03 "," $13,489,795.60 "," $678,394.64 "," $24,620,090.27 ",1858
2019-20,3269,Madison Metropolitan," $330,105,993.00 "," $28,685,730.43 "," $91,520,864.45 "," $13,526,163.97 "," $463,838,751.90 ",27929
2019-20,3276,Manawa," $3,534,716.00 "," $537,074.39 "," $5,487,039.30 "," $423,961.05 "," $9,982,790.74 ",699
2019-20,3290,Manitowoc," $20,144,269.00 "," $4,821,479.50 "," $42,444,617.16 "," $1,404,981.33 "," $68,815,346.99 ",5364
2019-20,3297,Maple," $9,645,142.00 "," $1,091,281.37 "," $8,303,540.84 "," $655,763.83 "," $19,695,728.04 ",1261
