School Year,District Code,School Code,Cooperative Educational Service Agency,District Name,Overall Accountability Score,Overall Accountability Rating,Lowest Grade in the District,Highest Grade in the District,School Type,District Enrollment,Percent American Indian or Alaskan Native,Percent Asian,Percent Black or African American,Percent Hispanic/Latino,Percent Native Hawaiian or Other Pacific Islander,Percent White,Percent Two or More Races,Percent Students with Disabilities,Percent Economically Disadvantaged,Percent Limited English Proficient,Percent Within District Mobility,Percent Between District Mobility,District Student Achievement Score,District ELA Achievement Score,District Mathematics Achievement Score,District Student Growth Score,District ELA Growth Score,District Mathematics Growth Score,District Closing Gaps Score,District ELA Gap Score,District Mathematics Gap Score,District 4 Year Graduation Gap Score,District 6 Year Graduation Gap Score,District Graduation Gap Score,District On-Track and Postsecondary Readiness Score,District Graduation Rate Score,District Attendance Rate Score,District Third-Grade ELA Achievement Score,District Eighth-Grade Mathematics Achievement Score,District Student Achievement Max Score,District ELA Achievement Max Score,District Mathematics Achievement Max Score,District Student Growth Max Score,District ELA Growth Max Score,District Mathematics Growth Max Score,District Closing Gaps Max Score,District ELA Achievement Gap Max Score,District Mathematics Achievement Gap Max Score,District Graduation Gap Max Score,District On-Track and Postsecondary Readiness Max Score,District Graduation Rate Max Score,District Attendance Rate Max Score,District Third-Grade ELA Achievement Max Score,District Eighth-Grade Mathematics Achievement Max Score,State Student Achievement Score,State ELA Achievement Score,State Mathematics Achievement Score,State Student Growth Score,State ELA Growth Score,State Mathematics Growth Score,State Closing Gaps Score,State ELA Achievement Gaps Score,State Mathematics Achievement Gaps Score,State Graduation Gaps Score,State On-Track and Postsecondary Readiness Score,State Graduation Rate Score,State Attendance Rate Score,State Third-Grade ELA Achievement Score,State Eighth-Grade Mathematics Achievement Score,State Student Achievement Max Score,State ELA Achievement Max Score,State Mathematics Achievement Max Score,State Student Growth Max Score,State ELA Growth Max Score,State Mathematics Growth Max Score,State Closing Gaps Max Score,State ELA Achievement Gaps Max Score,State Mathematics Achievement Gaps Max Score,State 4 Year Graduation Gaps Max Score,State 6 Year Graduation Gaps Max Score,State Graduation Gaps Max Score,State On-Track and Postsecondary Readiness Max Score,State Graduation Rate Max Score,State Attendance Rate Max Score,State Third-Grade ELA Achievement Max Score,State Eighth-Grade Mathematics Achievement Max Score,Student Engagement Indicators Deduction,Absenteeism Rate Deduction,Dropout Rate Deduction,Test Partcipation ELA 2019 All Students,Test Partcipation ELA MULTI-YEAR All Students,Test Partcipation Mathematics 2019 All Students,Test Partcipation Mathematics MULTI-YEAR All Students,Subgroup with lowest test participation rate 2019,Test Partcipation ELA 2019 lowest rate subgroup,Test Partcipation ELA MULTI-YEAR lowest rate subgroup,Test Partcipation Mathematics 2019 lowest rate subgroup,Test Partcipation Mathematics MULTI-YEAR lowest rate subgroup,Score weighting Achievement Priority Area,Score weighting Growth Priority Area,Score weighting Closing Gaps Priority Area,Score weighting Ontrack Priority Area,District Percent Proficient ELA 2015,State Percent Proficient ELA 2015,District Percent Proficient Mathematics 2015,State Percent Proficient Mathematics 2015,District Percent Proficient ELA 2016,State Percent Proficient ELA 2016,District Percent Proficient Mathematics 2016,State Percent Proficient Mathematics 2016,District Percent Proficient ELA 2017,State Percent Proficient ELA 2017,District Percent Proficient Mathematics 2017,State Percent Proficient Mathematics 2017,District Percent Proficient ELA 2018,State Percent Proficient ELA 2018,District Percent Proficient Mathematics 2018,State Percent Proficient Mathematics 2018,District Percent Proficient ELA 2019,State Percent Proficient ELA 2019,District Percent Proficient Mathematics 2019,State Percent Proficient Mathematics 2019,Notes,Notes,Change Outlier Note,Accountability Resource Link,Open enrollment note,No Score Note,Grade Band for Comparison,CESA,Locale description,City,Agency type,Charter school indicator,Virtual school indicator
2018-19,5621,  NA,Cooperative Ed Serv Agcy 02,Stoughton Area,75.3,Exceeds Expectations,K4,12,NA,"2,963",0.10%,1.90%,3.20%,6.40%,0.10%,83.60%,4.70%,11.70%,25.20%,3.50%,0.70%,3.20%,66.2,33.6,32.6,75.6,37.8,37.8,74.8,17.5,18.6,18.9,19.8,38.7,87.1,38.5,36.5,6.1,6,100,50,50,100,50,50,100,25,25,50,100,40,40,10,10,62.3,31.6,30.7,66,33,33,68.8,18.1,18,32.7,84.8,36.3,36.6,6.2,5.7,100,50,50,100,50,50,100,25,25,25,25,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,97.30%,97.90%,97.50%,98.00%,Lowest Subgroup Rate: Asian,87.50%,92.60%,90.00%,93.40%,31.50%,18.50%,25.00%,25.00%,0.559,0.502,0.468,0.424,0.476,0.425,0.447,0.405,0.452,0.434,0.433,0.405,0.466,0.423,0.464,0.418,0.464,0.406,0.428,0.41,NA,NA,,NA,,,K-12,2,NA,Stoughton,Public school district,N,N
2018-19,5656,  NA,Cooperative Ed Serv Agcy 02,Sun Prairie Area,73.9,Exceeds Expectations,K4,12,NA,"8,521",0.20%,9.90%,10.10%,9.10%,0.00%,62.30%,8.30%,11.80%,27.20%,7.60%,0.80%,4.00%,69.4,34.6,34.8,69.8,34.9,34.9,69.3,18,17.3,15,19,34,87,37.6,36.7,6.5,6.2,100,50,50,100,50,50,100,25,25,50,100,40,40,10,10,62.3,31.6,30.7,66,33,33,68.8,18.1,18,32.7,84.8,36.3,36.6,6.2,5.7,100,50,50,100,50,50,100,25,25,25,25,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,96.80%,96.90%,96.70%,96.90%,Lowest Subgroup Rate: SwD,89.30%,90.00%,88.70%,90.00%,30.20%,19.80%,25.00%,25.00%,0.598,0.502,0.538,0.424,0.497,0.425,0.498,0.405,0.483,0.434,0.48,0.405,0.479,0.423,0.498,0.418,0.468,0.406,0.482,0.41,NA,NA,,NA,,,K-12,2,NA,Sun Prairie,Public school district,N,N
2018-19,5901,  NA,Cooperative Ed Serv Agcy 02,Verona Area,73.2,Exceeds Expectations,K4,12,NA,"5,656",0.10%,3.90%,7.50%,19.50%,0.10%,62.60%,6.40%,7.40%,27.00%,14.10%,0.10%,2.70%,65.9,34.1,31.8,71.7,36.8,34.9,68.2,17.1,16.2,20.7,14.2,34.9,88.1,38,37.6,7,5.5,100,50,50,100,50,50,100,25,25,50,100,40,40,10,10,62.3,31.6,30.7,66,33,33,68.8,18.1,18,32.7,84.8,36.3,36.6,6.2,5.7,100,50,50,100,50,50,100,25,25,25,25,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,94.40%,95.40%,94.60%,95.40%,Lowest Subgroup Rate: SwD,86.50%,88.80%,87.50%,89.70%,30.30%,19.70%,25.00%,25.00%,0.573,0.502,0.496,0.424,0.499,0.425,0.47,0.405,0.487,0.434,0.444,0.405,0.46,0.423,0.433,0.418,0.458,0.406,0.425,0.41,NA,NA,,NA,,,K-12,2,NA,Verona,Public school district,N,N
2018-19,6113,  NA,Cooperative Ed Serv Agcy 02,Waterford Graded J1,74.5,Exceeds Expectations,K4,8,NA,"1,526",0.30%,1.20%,0.30%,6.20%,0.00%,88.60%,3.30%,10.00%,19.10%,0.90%,0.10%,1.20%,78,38.5,39.5,63.2,34,29.2,61,30.5,30.5,NA,NA,NA,89.7,NA,75.5,7.3,6.9,100,50,50,100,50,50,100,50,50,NA,100,NA,80,10,10,63.5,31.9,31.6,66,33,33,73.9,37.2,36.7,NA,86.3,NA,74.4,6.2,5.7,100,50,50,100,50,50,100,50,50,NA,NA,NA,100,NA,80,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,99.40%,99.50%,99.40%,99.40%,Lowest Subgroup Rate: SwD,96.00%,97.10%,97.00%,97.40%,35.60%,14.40%,25.00%,25.00%,0.705,0.502,0.622,0.424,0.576,0.425,0.633,0.405,0.541,0.434,0.591,0.405,0.526,0.423,0.571,0.418,0.541,0.406,0.57,0.41,NA,NA,,NA,,,K-8,2,Rural,Waterford,Public school district,N,N
2018-19,6118,  NA,Cooperative Ed Serv Agcy 02,Waterloo,71.3,Meets Expectations,K4,12,NA,790,0.10%,1.50%,0.90%,27.00%,0.10%,67.10%,3.30%,12.70%,37.80%,19.60%,0.00%,4.40%,56.9,29.5,27.4,63.2,34,29.2,78.2,40.6,37.6,NA,NA,NA,86.3,38.4,37.9,4.9,5.1,100,50,50,100,50,50,100,50,50,NA,100,40,40,10,10,62.3,31.6,30.7,66,33,33,68.8,18.1,18,32.7,84.8,36.3,36.6,6.2,5.7,100,50,50,100,50,50,100,25,25,NA,NA,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,99.40%,99.50%,99.40%,99.50%,Lowest Subgroup Rate: SwD,96.80%,97.90%,96.80%,97.90%,23.10%,26.90%,25.00%,25.00%,0.433,0.502,0.351,0.424,0.395,0.425,0.357,0.405,0.398,0.434,0.348,0.405,0.378,0.423,0.362,0.418,0.345,0.406,0.333,0.41,NA,NA,,NA,,,K-12,2,Rural,Waterloo,Public school district,N,N
2018-19,6125,  NA,Cooperative Ed Serv Agcy 02,Watertown Unified,70.9,Meets Expectations,K4,12,NA,"3,621",0.10%,0.70%,2.40%,18.30%,0.10%,74.40%,4.20%,13.90%,42.00%,5.20%,0.20%,5.90%,59,28.4,30.6,66.1,32.1,34,70.1,18.9,19.7,14.6,16.9,31.5,86.9,38.2,36.9,5.8,6,100,50,50,100,50,50,100,25,25,50,100,40,40,10,10,62.3,31.6,30.7,66,33,33,68.8,18.1,18,32.7,84.8,36.3,36.6,6.2,5.7,100,50,50,100,50,50,100,25,25,25,25,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,98.10%,98.40%,98.10%,98.40%,Lowest Subgroup Rate: SwD,96.00%,96.90%,96.00%,96.60%,20.30%,29.70%,25.00%,25.00%,0.465,0.502,0.405,0.424,0.394,0.425,0.421,0.405,0.367,0.434,0.416,0.405,0.332,0.423,0.402,0.418,0.359,0.406,0.398,0.41,NA,NA,,NA,,,K-12,2,NA,Watertown,Public school district,N,N
2018-19,6181,  NA,Cooperative Ed Serv Agcy 02,Waunakee Community,85,Significantly Exceeds Expectations,K4,12,NA,"4,339",0.10%,2.30%,1.20%,4.80%,0.00%,88.10%,3.50%,8.70%,6.90%,1.80%,0.00%,1.10%,90.5,44.1,46.4,77.4,36.8,40.6,69.2,19.9,19.1,16.7,13.5,30.2,93.2,39.2,37.6,8.1,8.3,100,50,50,100,50,50,100,25,25,50,100,40,40,10,10,62.3,31.6,30.7,66,33,33,68.8,18.1,18,32.7,84.8,36.3,36.6,6.2,5.7,100,50,50,100,50,50,100,25,25,25,25,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,95.10%,95.20%,95.00%,95.20%,Lowest Subgroup Rate: SwD,92.00%,92.10%,90.70%,91.50%,43.70%,6.30%,25.00%,25.00%,0.722,0.502,0.704,0.424,0.653,0.425,0.688,0.405,0.679,0.434,0.692,0.405,0.682,0.423,0.719,0.418,0.651,0.406,0.716,0.41,NA,NA,,NA,,,K-12,2,NA,Waunakee,Public school district,N,N
2018-19,6461,  NA,Cooperative Ed Serv Agcy 02,Whitewater Unified,73,Exceeds Expectations,K4,12,NA,"1,940",0.30%,1.50%,2.50%,29.80%,0.30%,63.20%,2.50%,17.40%,42.70%,15.60%,0.50%,3.30%,62.8,32.1,30.7,61.3,29.2,32.1,82.2,18.9,17.2,21.1,25,46.1,86,36.8,37.1,7.2,4.9,100,50,50,100,50,50,100,25,25,50,100,40,40,10,10,62.3,31.6,30.7,66,33,33,68.8,18.1,18,32.7,84.8,36.3,36.6,6.2,5.7,100,50,50,100,50,50,100,25,25,25,25,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,98.00%,97.00%,98.00%,97.00%,Lowest Subgroup Rate: Two or More,93.50%,95.80%,93.50%,95.80%,19.90%,30.10%,25.00%,25.00%,0.496,0.502,0.431,0.424,0.428,0.425,0.416,0.405,0.447,0.434,0.395,0.405,0.421,0.423,0.402,0.418,0.403,0.406,0.39,0.41,NA,NA,,NA,,,K-12,2,NA,Whitewater,Public school district,N,N
2018-19,6482,  NA,Cooperative Ed Serv Agcy 02,Williams Bay,79.6,Exceeds Expectations,K4,12,NA,721,0.00%,2.60%,1.40%,9.40%,0.00%,86.40%,0.10%,11.80%,28.80%,1.40%,0.00%,2.10%,70.5,37.6,32.9,81.3,45.4,35.9,77.8,38.9,38.9,NA,NA,NA,90.4,39.1,37.9,6.9,6.5,100,50,50,100,50,50,100,50,50,NA,100,40,40,10,10,62.3,31.6,30.7,66,33,33,68.8,18.1,18,32.7,84.8,36.3,36.6,6.2,5.7,100,50,50,100,50,50,100,25,25,NA,NA,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,99.40%,98.10%,99.20%,98.30%,Lowest Subgroup Rate: SwD,95.50%,96.00%,93.20%,95.30%,29.10%,20.90%,25.00%,25.00%,0.549,0.502,0.405,0.424,0.513,0.425,0.406,0.405,0.522,0.434,0.386,0.405,0.538,0.423,0.46,0.418,0.545,0.406,0.447,0.41,NA,NA,,NA,,,K-12,2,Rural,Williams Bay,Public school district,N,N
2018-19,469,  NA,Cooperative Ed Serv Agcy 02,Wisconsin Heights,78.5,Exceeds Expectations,K4,12,NA,776,0.00%,0.80%,3.50%,1.80%,0.00%,89.40%,4.50%,11.70%,23.30%,0.60%,0.00%,2.10%,73.1,37.2,35.9,75.6,43.5,32.1,75.9,39.4,36.5,NA,NA,NA,90.2,39.2,37.5,6.6,6.9,100,50,50,100,50,50,100,50,50,NA,100,40,40,10,10,62.3,31.6,30.7,66,33,33,68.8,18.1,18,32.7,84.8,36.3,36.6,6.2,5.7,100,50,50,100,50,50,100,25,25,NA,NA,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,98.50%,99.00%,98.50%,99.00%,Lowest Subgroup Rate: SwD,88.90%,91.30%,88.90%,91.30%,32.80%,17.20%,25.00%,25.00%,0.57,0.502,0.539,0.424,0.49,0.425,0.497,0.405,0.499,0.434,0.503,0.405,0.528,0.423,0.507,0.418,0.509,0.406,0.504,0.41,NA,NA,,NA,,,K-12,2,NA,Mazomanie,Public school district,N,N
2018-19,161,  NA,Cooperative Ed Serv Agcy 03,Argyle,72.9,Meets Expectations,K4,12,NA,292,0.70%,0.70%,0.70%,2.40%,0.00%,94.50%,1.00%,13.00%,37.70%,0.00%,0.00%,2.10%,60.5,31.3,29.2,72.7,37.8,34.9,68.9,39.1,29.8,NA,NA,NA,88.8,39.3,38.1,6.3,5.1,100,50,50,100,50,50,100,50,50,NA,100,40,40,10,10,62.3,31.6,30.7,66,33,33,68.8,18.1,18,32.7,84.8,36.3,36.6,6.2,5.7,100,50,50,100,50,50,100,25,25,NA,NA,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,100%,99.30%,100%,99.00%,Lowest Subgroup Rate: White,100%,99.30%,100%,98.90%,23.20%,26.80%,25.00%,25.00%,0.466,0.502,0.456,0.424,0.332,0.425,0.347,0.405,0.401,0.434,0.354,0.405,0.383,0.423,0.352,0.418,0.41,0.406,0.344,0.41,NA,NA,,NA,,,K-12,3,Rural,Argyle,Public school district,N,N
2018-19,287,  NA,Cooperative Ed Serv Agcy 03,Barneveld,81.7,Exceeds Expectations,K4,12,NA,438,0.00%,0.20%,0.70%,0.90%,0.00%,96.80%,1.40%,6.60%,12.10%,0.20%,0.00%,1.60%,76.6,40.4,36.2,72.7,35.9,36.8,85.8,42.7,43.1,NA,NA,NA,89.4,37.2,38.6,8.8,4.8,100,50,50,100,50,50,100,50,50,NA,100,40,40,10,10,62.3,31.6,30.7,66,33,33,68.8,18.1,18,32.7,84.8,36.3,36.6,6.2,5.7,100,50,50,100,50,50,100,25,25,NA,NA,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,100%,100%,100%,100%,Lowest Subgroup Rate: White,100%,100%,100%,100%,40.30%,9.70%,25.00%,25.00%,0.585,0.502,0.457,0.424,0.493,0.425,0.377,0.405,0.592,0.434,0.366,0.405,0.622,0.423,0.587,0.418,0.603,0.406,0.561,0.41,NA,NA,,NA,,,K-12,3,Rural,Barneveld,Public school district,N,N
2018-19,364,  NA,Cooperative Ed Serv Agcy 03,Belmont Community,71.5,Meets Expectations,K4,12,NA,384,0.00%,0.00%,0.00%,6.30%,0.00%,91.70%,2.10%,12.00%,29.90%,3.40%,0.00%,2.10%,61.2,30.5,30.7,70.8,35.9,34.9,69.6,33.6,36,NA,NA,NA,85.8,36.2,37.3,7.3,5,100,50,50,100,50,50,100,50,50,NA,100,40,40,10,10,62.3,31.6,30.7,66,33,33,68.8,18.1,18,32.7,84.8,36.3,36.6,6.2,5.7,100,50,50,100,50,50,100,25,25,NA,NA,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,100%,100%,100%,100%,Lowest Subgroup Rate: White,100%,100%,100%,100%,28.40%,21.60%,25.00%,25.00%,0.458,0.502,0.378,0.424,0.343,0.425,0.314,0.405,0.396,0.434,0.38,0.405,0.357,0.423,0.365,0.418,0.409,0.406,0.405,0.41,NA,NA,,NA,,,K-12,3,Rural,Belmont,Public school district,N,N
2018-19,427,  NA,Cooperative Ed Serv Agcy 03,Benton,75,Exceeds Expectations,K4,12,NA,200,1.00%,1.50%,0.00%,2.00%,0.00%,92.50%,3.00%,13.50%,32.50%,1.00%,0.00%,5.00%,71.9,36.7,35.2,66.1,30.2,35.9,74.5,37,37.5,NA,NA,NA,87.2,36,38.2,6.7,6.3,100,50,50,100,50,50,100,50,50,NA,100,40,40,10,10,62.3,31.6,30.7,66,33,33,68.8,18.1,18,32.7,84.8,36.3,36.6,6.2,5.7,100,50,50,100,50,50,100,25,25,NA,NA,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,100%,99.80%,100%,99.50%,Lowest Subgroup Rate: White,100%,99.70%,100%,99.70%,26.70%,23.30%,25.00%,25.00%,0.671,0.502,0.547,0.424,0.516,0.425,0.425,0.405,0.525,0.434,0.496,0.405,0.532,0.423,0.556,0.418,0.483,0.406,0.442,0.41,NA,NA,,NA,,,K-12,3,Rural,Benton,Public school district,N,N
2018-19,2240,  NA,Cooperative Ed Serv Agcy 03,Black Hawk,68.2,Meets Expectations,K4,12,NA,383,0.00%,0.00%,1.80%,1.80%,0.00%,95.80%,0.50%,14.40%,50.70%,0.30%,0.00%,3.10%,62.8,31.2,31.6,60.4,26.4,34,61.8,27.7,34.1,NA,NA,NA,88.8,37.9,37.9,6.7,6.3,100,50,50,100,50,50,100,50,50,NA,100,40,40,10,10,62.3,31.6,30.7,66,33,33,68.8,18.1,18,32.7,84.8,36.3,36.6,6.2,5.7,100,50,50,100,50,50,100,25,25,NA,NA,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,99.60%,99.40%,100%,99.60%,Lowest Subgroup Rate: SwD,96.20%,96.70%,100%,97.80%,14.50%,35.50%,25.00%,25.00%,0.552,0.502,0.387,0.424,0.454,0.425,0.371,0.405,0.448,0.434,0.434,0.405,0.374,0.423,0.37,0.418,0.379,0.406,0.419,0.41,NA,NA,,NA,,,K-12,3,Rural,South Wayne,Public school district,N,N
2018-19,609,  NA,Cooperative Ed Serv Agcy 03,Boscobel Area,78.6,Exceeds Expectations,K4,12,NA,796,0.10%,0.50%,0.60%,2.80%,0.00%,95.70%,0.30%,21.00%,59.40%,1.00%,0.00%,4.80%,57.2,27.9,29.3,78.4,37.8,40.6,77.4,20.6,19.9,11.9,25,36.9,87.6,37.8,37.9,5.7,6.2,100,50,50,100,50,50,100,25,25,50,100,40,40,10,10,62.3,31.6,30.7,66,33,33,68.8,18.1,18,32.7,84.8,36.3,36.6,6.2,5.7,100,50,50,100,50,50,100,25,25,25,25,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,99.40%,99.00%,99.40%,98.90%,Lowest Subgroup Rate: SwD,98.90%,98.20%,98.90%,98.20%,8.70%,41.30%,25.00%,25.00%,0.391,0.502,0.3,0.424,0.293,0.425,0.263,0.405,0.36,0.434,0.316,0.405,0.303,0.423,0.387,0.418,0.344,0.406,0.386,0.41,NA,NA,,NA,,,K-12,3,NA,Boscobel,Public school district,N,N
2018-19,994,  NA,Cooperative Ed Serv Agcy 03,Cassville,79,Exceeds Expectations,K4,12,NA,195,0.00%,0.50%,0.50%,0.00%,0.00%,99.00%,0.00%,14.90%,58.50%,0.00%,0.00%,2.10%,67,34.9,32.1,68.9,35.9,33,88.5,44.4,44.1,NA,NA,NA,90.6,40,37.9,7.9,4.8,100,50,50,100,50,50,100,50,50,NA,100,40,40,10,10,62.3,31.6,30.7,66,33,33,68.8,18.1,18,32.7,84.8,36.3,36.6,6.2,5.7,100,50,50,100,50,50,100,25,25,NA,NA,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,99.30%,98.50%,100%,99.50%,Lowest Subgroup Rate: Econ Disadv,98.80%,97.90%,100%,99.10%,9.30%,40.70%,25.00%,25.00%,0.46,0.502,0.338,0.424,0.281,0.425,0.273,0.405,0.508,0.434,0.438,0.405,0.519,0.423,0.442,0.418,0.422,0.406,0.453,0.41,NA,NA,,NA,,,K-12,3,Rural,Cassville,Public school district,N,N
2018-19,1246,  NA,Cooperative Ed Serv Agcy 03,Cuba City,78.3,Exceeds Expectations,K4,12,NA,679,0.00%,0.40%,0.10%,3.50%,0.00%,94.70%,1.20%,17.50%,29.90%,1.90%,0.00%,2.40%,69.5,34.8,34.7,60.4,26.4,34,91.1,46,45.1,NA,NA,NA,91,38.7,38.3,7.5,6.5,100,50,50,100,50,50,100,50,50,NA,100,40,40,10,10,62.3,31.6,30.7,66,33,33,68.8,18.1,18,32.7,84.8,36.3,36.6,6.2,5.7,100,50,50,100,50,50,100,25,25,NA,NA,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,99.30%,99.60%,99.10%,99.50%,Lowest Subgroup Rate: SwD,96.30%,97.90%,95.10%,97.50%,28.40%,21.60%,25.00%,25.00%,0.487,0.502,0.441,0.424,0.377,0.425,0.421,0.405,0.488,0.434,0.493,0.405,0.47,0.423,0.503,0.418,0.431,0.406,0.473,0.41,NA,NA,,NA,,,K-12,3,Rural,Cuba City,Public school district,N,N
2018-19,1295,  NA,Cooperative Ed Serv Agcy 03,Darlington Community,78.1,Exceeds Expectations,K4,12,NA,839,0.10%,0.80%,0.70%,22.50%,0.00%,75.00%,0.80%,11.00%,39.70%,16.30%,0.00%,2.00%,67.7,32.3,35.4,76.5,38.7,37.8,75.6,38.6,37,NA,NA,NA,91.4,36.8,39,8,7.6,100,50,50,100,50,50,100,50,50,NA,100,40,40,10,10,62.3,31.6,30.7,66,33,33,68.8,18.1,18,32.7,84.8,36.3,36.6,6.2,5.7,100,50,50,100,50,50,100,25,25,NA,NA,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,99.80%,99.90%,100%,100%,Lowest Subgroup Rate: Hispanic,100%,100%,100%,100%,21.90%,28.10%,25.00%,25.00%,0.494,0.502,0.561,0.424,0.426,0.425,0.516,0.405,0.357,0.434,0.471,0.405,0.483,0.423,0.551,0.418,0.429,0.406,0.516,0.41,NA,NA,,NA,,,K-12,3,Rural,Darlington,Public school district,N,N
2018-19,1428,  NA,Cooperative Ed Serv Agcy 03,Dodgeville,75.1,Exceeds Expectations,K4,12,NA,"1,227",0.30%,1.80%,1.60%,3.70%,0.00%,89.20%,3.30%,11.50%,40.40%,1.60%,0.10%,3.00%,68.1,33.4,34.7,64.1,29.2,34.9,80.5,18.6,20.5,16.4,25,41.4,88.4,38.5,37.3,6.5,6.1,100,50,50,100,50,50,100,25,25,50,100,40,40,10,10,62.3,31.6,30.7,66,33,33,68.8,18.1,18,32.7,84.8,36.3,36.6,6.2,5.7,100,50,50,100,50,50,100,25,25,25,25,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,97.40%,97.90%,97.40%,97.90%,Lowest Subgroup Rate: SwD,90.80%,92.10%,89.70%,91.70%,21.40%,28.60%,25.00%,25.00%,0.57,0.502,0.493,0.424,0.487,0.425,0.452,0.405,0.455,0.434,0.475,0.405,0.471,0.423,0.5,0.418,0.439,0.406,0.478,0.41,NA,NA,,NA,,,K-12,3,NA,Dodgeville,Public school district,N,N
2018-19,1813,  NA,Cooperative Ed Serv Agcy 03,Fennimore Community,86.6,Significantly Exceeds Expectations,K4,12,NA,798,0.00%,1.00%,0.30%,3.80%,0.00%,93.60%,1.40%,18.70%,40.40%,0.80%,0.00%,2.40%,72.8,37.3,35.5,88.9,47.3,41.6,92.7,21.4,21.3,NA,50,50,89.8,39,37.1,7.6,6.1,100,50,50,100,50,50,100,25,25,50,100,40,40,10,10,62.3,31.6,30.7,66,33,33,68.8,18.1,18,32.7,84.8,36.3,36.6,6.2,5.7,100,50,50,100,50,50,100,25,25,NA,50,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,100%,99.90%,99.80%,99.80%,Lowest Subgroup Rate: SwD,100%,99.60%,98.90%,99.20%,21.40%,28.60%,25.00%,25.00%,0.591,0.502,0.445,0.424,0.435,0.425,0.357,0.405,0.483,0.434,0.425,0.405,0.557,0.423,0.513,0.418,0.534,0.406,0.511,0.41,NA,NA,,NA,,,K-12,3,Rural,Fennimore,Public school district,N,N
2018-19,2527,  NA,Cooperative Ed Serv Agcy 03,Highland,70.1,Meets Expectations,K4,12,NA,297,0.30%,1.00%,0.70%,1.30%,0.00%,93.60%,3.00%,15.20%,29.00%,1.30%,0.00%,2.70%,64.2,29.5,34.7,71.8,30.2,41.6,59.6,26.5,33.1,NA,NA,NA,86,36,37.7,5.9,6.4,100,50,50,100,50,50,100,50,50,NA,100,40,40,10,10,62.3,31.6,30.7,66,33,33,68.8,18.1,18,32.7,84.8,36.3,36.6,6.2,5.7,100,50,50,100,50,50,100,25,25,NA,NA,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,100%,99.50%,99.50%,99.40%,Lowest Subgroup Rate: SwD,100%,98.00%,96.70%,97.10%,29.00%,21.00%,25.00%,25.00%,0.572,0.502,0.543,0.424,0.425,0.425,0.463,0.405,0.351,0.434,0.439,0.405,0.359,0.423,0.469,0.418,0.321,0.406,0.5,0.41,NA,NA,,NA,,,K-12,3,Rural,Highland,Public school district,N,N
2018-19,2646,  NA,Cooperative Ed Serv Agcy 03,Iowa-Grant,78.9,Exceeds Expectations,K4,12,NA,732,0.00%,0.10%,0.50%,5.60%,0.00%,93.20%,0.50%,16.70%,43.60%,3.30%,0.00%,3.30%,61.7,31,30.7,81.3,37.8,43.5,79.4,37.2,42.2,NA,NA,NA,88.8,39.2,38.2,5.7,5.7,100,50,50,100,50,50,100,50,50,NA,100,40,40,10,10,62.3,31.6,30.7,66,33,33,68.8,18.1,18,32.7,84.8,36.3,36.6,6.2,5.7,100,50,50,100,50,50,100,25,25,NA,NA,50,100,40,40,10,10,Total Deductions: 0,Goal met: no deduction,Goal met: no deduction,99.20%,98.90%,98.90%,98.80%,Lowest Subgroup Rate: White,99.10%,99.00%,98.90%,98.90%,19.30%,30.70%,25.00%,25.00%,0.48,0.502,0.364,0.424,0.396,0.425,0.352,0.405,0.377,0.434,0.313,0.405,0.405,0.423,0.412,0.418,0.397,0.406,0.477,0.41,NA,NA,,NA,,,K-12,3,Rural,Livingston,Public school district,N,N
